"","Term","Ont","N","Up","Down","P.Up","P.Down"
"GO:2000911","positive regulation of sterol import","BP",1,0,0,1,1
"GO:0071108","protein K48-linked deubiquitination","BP",1,0,0,1,1
"GO:0007605","sensory perception of sound","BP",4,3,1,0.107717050641147,0.841316405085412
"GO:0030050","vesicle transport along actin filament","BP",5,2,1,0.532596155325521,0.899972176447494
"GO:0050954","sensory perception of mechanical stimulus","BP",4,3,1,0.107717050641147,0.841316405085412
"GO:0099515","actin filament-based transport","BP",5,2,1,0.532596155325521,0.899972176447494
"GO:0035924","cellular response to vascular endothelial growth factor stimulus","BP",5,3,1,0.204410201292352,0.899972176447494
"GO:0038084","vascular endothelial growth factor signaling pathway","BP",1,0,1,1,0.368376068376068
"GO:0038089","positive regulation of cell migration by vascular endothelial growth factor signaling pathway","BP",1,0,1,1,0.368376068376068
"GO:1900078","positive regulation of cellular response to insulin stimulus","BP",1,0,1,1,0.368376068376068
"GO:1900746","regulation of vascular endothelial growth factor signaling pathway","BP",1,0,1,1,0.368376068376068
"GO:1900748","positive regulation of vascular endothelial growth factor signaling pathway","BP",1,0,1,1,0.368376068376068
"GO:1902547","regulation of cellular response to vascular endothelial growth factor stimulus","BP",1,0,1,1,0.368376068376068
"GO:2000810","regulation of bicellular tight junction assembly","BP",1,0,1,1,0.368376068376068
"GO:0030500","regulation of bone mineralization","BP",4,2,2,0.401321773712254,0.46961733221483
"GO:0070167","regulation of biomineral tissue development","BP",4,2,2,0.401321773712254,0.46961733221483
"GO:0110149","regulation of biomineralization","BP",4,2,2,0.401321773712254,0.46961733221483
"GO:0001662","behavioral fear response","BP",4,1,2,0.798895615169579,0.46961733221483
"GO:0002209","behavioral defense response","BP",4,1,2,0.798895615169579,0.46961733221483
"GO:0007612","learning","BP",7,2,3,0.731060007666052,0.509883138174582
"GO:0008306","associative learning","BP",5,2,3,0.532596155325521,0.264003351081446
"GO:0031915","positive regulation of synaptic plasticity","BP",1,0,1,1,0.368376068376068
"GO:0042596","fear response","BP",4,1,2,0.798895615169579,0.46961733221483
"GO:0051602","response to electrical stimulus","BP",2,1,1,0.551174573929065,0.601250246759229
"GO:0071257","cellular response to electrical stimulus","BP",1,0,1,1,0.368376068376068
"GO:1905809","negative regulation of synapse organization","BP",1,0,1,1,0.368376068376068
"GO:2000297","negative regulation of synapse maturation","BP",1,0,1,1,0.368376068376068
"GO:0001953","negative regulation of cell-matrix adhesion","BP",2,1,1,0.551174573929065,0.601250246759229
"GO:0006835","dicarboxylic acid transport","BP",6,4,2,0.0962356035681142,0.714942168073546
"GO:0006865","amino acid transport","BP",11,8,2,0.00796312887737675,0.953408730836878
"GO:0007405","neuroblast proliferation","BP",5,3,2,0.204410201292352,0.606693319637086
"GO:0007406","negative regulation of neuroblast proliferation","BP",3,1,2,0.699502154805247,0.306967466542153
"GO:0007632","visual behavior","BP",4,2,2,0.401321773712254,0.46961733221483
"GO:0008542","visual learning","BP",4,2,2,0.401321773712254,0.46961733221483
"GO:0010812","negative regulation of cell-substrate adhesion","BP",2,1,1,0.551174573929065,0.601250246759229
"GO:0014037","Schwann cell differentiation","BP",5,3,1,0.204410201292352,0.899972176447494
"GO:0014044","Schwann cell development","BP",5,3,1,0.204410201292352,0.899972176447494
"GO:0014047","glutamate secretion","BP",1,0,1,1,0.368376068376068
"GO:0014051","gamma-aminobutyric acid secretion","BP",1,0,1,1,0.368376068376068
"GO:0015800","acidic amino acid transport","BP",2,1,1,0.551174573929065,0.601250246759229
"GO:0015812","gamma-aminobutyric acid transport","BP",2,1,1,0.551174573929065,0.601250246759229
"GO:0021764","amygdala development","BP",1,0,1,1,0.368376068376068
"GO:0021896","forebrain astrocyte differentiation","BP",1,0,1,1,0.368376068376068
"GO:0021897","forebrain astrocyte development","BP",1,0,1,1,0.368376068376068
"GO:0022011","myelination in peripheral nervous system","BP",5,3,1,0.204410201292352,0.899972176447494
"GO:0030199","collagen fibril organization","BP",3,0,2,1,0.306967466542153
"GO:0030325","adrenal gland development","BP",1,0,1,1,0.368376068376068
"GO:0032292","peripheral nervous system axon ensheathment","BP",5,3,1,0.204410201292352,0.899972176447494
"GO:0035021","negative regulation of Rac protein signal transduction","BP",1,0,1,1,0.368376068376068
"GO:0045671","negative regulation of osteoclast differentiation","BP",1,0,1,1,0.368376068376068
"GO:0045762","positive regulation of adenylate cyclase activity","BP",2,0,1,1,0.601250246759229
"GO:0046717","acid secretion","BP",2,1,1,0.551174573929065,0.601250246759229
"GO:0046929","negative regulation of neurotransmitter secretion","BP",1,0,1,1,0.368376068376068
"GO:0048147","negative regulation of fibroblast proliferation","BP",4,0,3,1,0.144317600869476
"GO:0048712","negative regulation of astrocyte differentiation","BP",2,1,1,0.551174573929065,0.601250246759229
"GO:0048745","smooth muscle tissue development","BP",2,0,2,1,0.135501889992908
"GO:0048820","hair follicle maturation","BP",1,0,1,1,0.368376068376068
"GO:0048853","forebrain morphogenesis","BP",1,0,1,1,0.368376068376068
"GO:0051589","negative regulation of neurotransmitter transport","BP",1,0,1,1,0.368376068376068
"GO:0061534","gamma-aminobutyric acid secretion, neurotransmission","BP",1,0,1,1,0.368376068376068
"GO:0061535","glutamate secretion, neurotransmission","BP",1,0,1,1,0.368376068376068
"GO:0098597","observational learning","BP",1,0,1,1,0.368376068376068
"GO:1900271","regulation of long-term synaptic potentiation","BP",3,1,2,0.699502154805247,0.306967466542153
"GO:1902692","regulation of neuroblast proliferation","BP",3,1,2,0.699502154805247,0.306967466542153
"GO:2000647","negative regulation of stem cell proliferation","BP",3,1,2,0.699502154805247,0.306967466542153
"GO:2001238","positive regulation of extrinsic apoptotic signaling pathway","BP",2,0,1,1,0.601250246759229
"GO:2001241","positive regulation of extrinsic apoptotic signaling pathway in absence of ligand","BP",1,0,1,1,0.368376068376068
"GO:0001707","mesoderm formation","BP",4,1,3,0.798895615169579,0.144317600869476
"GO:0007498","mesoderm development","BP",7,1,4,0.939874909759824,0.230612268883612
"GO:0014009","glial cell proliferation","BP",2,1,1,0.551174573929065,0.601250246759229
"GO:0014010","Schwann cell proliferation","BP",2,1,1,0.551174573929065,0.601250246759229
"GO:0042475","odontogenesis of dentin-containing tooth","BP",2,1,1,0.551174573929065,0.601250246759229
"GO:0048332","mesoderm morphogenesis","BP",4,1,3,0.798895615169579,0.144317600869476
"GO:0000087","mitotic M phase","BP",1,0,0,1,1
"GO:0000089","mitotic metaphase","BP",1,0,0,1,1
"GO:0000101","sulfur amino acid transport","BP",2,1,0,0.551174573929065,1
"GO:0000279","M phase","BP",2,0,0,1,1
"GO:0002065","columnar/cuboidal epithelial cell differentiation","BP",6,4,1,0.0962356035681142,0.936978178122284
"GO:0015804","neutral amino acid transport","BP",6,4,1,0.0962356035681142,0.936978178122284
"GO:0021522","spinal cord motor neuron differentiation","BP",1,0,0,1,1
"GO:0021781","glial cell fate commitment","BP",2,0,1,1,0.601250246759229
"GO:0022403","cell cycle phase","BP",2,0,0,1,1
"GO:0036003","positive regulation of transcription from RNA polymerase II promoter in response to stress","BP",3,0,1,1,0.748391636867767
"GO:0036314","response to sterol","BP",2,1,0,0.551174573929065,1
"GO:0036315","cellular response to sterol","BP",2,1,0,0.551174573929065,1
"GO:0042883","cysteine transport","BP",1,0,0,1,1
"GO:0043618","regulation of transcription from RNA polymerase II promoter in response to stress","BP",3,0,1,1,0.748391636867767
"GO:0043620","regulation of DNA-templated transcription in response to stress","BP",3,0,1,1,0.748391636867767
"GO:0044848","biological phase","BP",2,0,0,1,1
"GO:0045454","cell redox homeostasis","BP",4,2,1,0.401321773712254,0.841316405085412
"GO:0046688","response to copper ion","BP",1,0,0,1,1
"GO:0051323","metaphase","BP",1,0,0,1,1
"GO:0060563","neuroepithelial cell differentiation","BP",5,3,1,0.204410201292352,0.899972176447494
"GO:0070417","cellular response to cold","BP",1,0,0,1,1
"GO:0070723","response to cholesterol","BP",2,1,0,0.551174573929065,1
"GO:0071280","cellular response to copper ion","BP",1,0,0,1,1
"GO:0071397","cellular response to cholesterol","BP",2,1,0,0.551174573929065,1
"GO:0071895","odontoblast differentiation","BP",1,0,0,1,1
"GO:0072348","sulfur compound transport","BP",8,6,1,0.0182940324201225,0.975021099701108
"GO:0097201","negative regulation of transcription from RNA polymerase II promoter in response to stress","BP",1,0,0,1,1
"GO:0098763","mitotic cell cycle phase","BP",1,0,0,1,1
"GO:1901329","regulation of odontoblast differentiation","BP",1,0,0,1,1
"GO:1903353","regulation of nucleus organization","BP",1,0,0,1,1
"GO:0006183","GTP biosynthetic process","BP",2,0,1,1,0.601250246759229
"GO:0006221","pyrimidine nucleotide biosynthetic process","BP",3,0,2,1,0.306967466542153
"GO:0006228","UTP biosynthetic process","BP",2,0,1,1,0.601250246759229
"GO:0006241","CTP biosynthetic process","BP",2,0,1,1,0.601250246759229
"GO:0007589","body fluid secretion","BP",6,1,5,0.910044209460714,0.0278851113928814
"GO:0007595","lactation","BP",5,1,4,0.865470480130593,0.0645271007281625
"GO:0009147","pyrimidine nucleoside triphosphate metabolic process","BP",2,0,1,1,0.601250246759229
"GO:0009148","pyrimidine nucleoside triphosphate biosynthetic process","BP",2,0,1,1,0.601250246759229
"GO:0009208","pyrimidine ribonucleoside triphosphate metabolic process","BP",2,0,1,1,0.601250246759229
"GO:0009209","pyrimidine ribonucleoside triphosphate biosynthetic process","BP",2,0,1,1,0.601250246759229
"GO:0009218","pyrimidine ribonucleotide metabolic process","BP",2,0,1,1,0.601250246759229
"GO:0009220","pyrimidine ribonucleotide biosynthetic process","BP",2,0,1,1,0.601250246759229
"GO:0046036","CTP metabolic process","BP",2,0,1,1,0.601250246759229
"GO:0046039","GTP metabolic process","BP",2,0,1,1,0.601250246759229
"GO:0046051","UTP metabolic process","BP",2,0,1,1,0.601250246759229
"GO:0072528","pyrimidine-containing compound biosynthetic process","BP",3,0,2,1,0.306967466542153
"GO:0045606","positive regulation of epidermal cell differentiation","BP",4,1,2,0.798895615169579,0.46961733221483
"GO:0045616","regulation of keratinocyte differentiation","BP",4,1,2,0.798895615169579,0.46961733221483
"GO:0045618","positive regulation of keratinocyte differentiation","BP",4,1,2,0.798895615169579,0.46961733221483
"GO:0006497","protein lipidation","BP",8,1,2,0.95983044272002,0.85736092452272
"GO:0006498","N-terminal protein lipidation","BP",1,0,0,1,1
"GO:0006499","N-terminal protein myristoylation","BP",1,0,0,1,1
"GO:0018008","N-terminal peptidyl-glycine N-myristoylation","BP",1,0,0,1,1
"GO:0018201","peptidyl-glycine modification","BP",1,0,0,1,1
"GO:0018377","protein myristoylation","BP",1,0,0,1,1
"GO:0031365","N-terminal protein amino acid modification","BP",1,0,0,1,1
"GO:0042158","lipoprotein biosynthetic process","BP",8,1,2,0.95983044272002,0.85736092452272
"GO:0002534","cytokine production involved in inflammatory response","BP",4,2,1,0.401321773712254,0.841316405085412
"GO:0006525","arginine metabolic process","BP",2,2,0,0.108654485899995,1
"GO:0006527","arginine catabolic process","BP",1,1,0,0.32991452991453,1
"GO:0006809","nitric oxide biosynthetic process","BP",2,1,1,0.551174573929065,0.601250246759229
"GO:0009064","glutamine family amino acid metabolic process","BP",4,2,1,0.401321773712254,0.841316405085412
"GO:0009065","glutamine family amino acid catabolic process","BP",1,1,0,0.32991452991453,1
"GO:0015732","prostaglandin transport","BP",4,1,2,0.798895615169579,0.46961733221483
"GO:0031343","positive regulation of cell killing","BP",3,1,2,0.699502154805247,0.306967466542153
"GO:0031640","killing of cells of other organism","BP",1,1,0,0.32991452991453,1
"GO:0032310","prostaglandin secretion","BP",4,1,2,0.798895615169579,0.46961733221483
"GO:0032637","interleukin-8 production","BP",3,3,0,0.0357220227616421,1
"GO:0045776","negative regulation of blood pressure","BP",3,1,2,0.699502154805247,0.306967466542153
"GO:0046209","nitric oxide metabolic process","BP",3,2,1,0.2545194121767,0.748391636867767
"GO:0051709","regulation of killing of cells of other organism","BP",1,1,0,0.32991452991453,1
"GO:0051712","positive regulation of killing of cells of other organism","BP",1,1,0,0.32991452991453,1
"GO:1900015","regulation of cytokine production involved in inflammatory response","BP",4,2,1,0.401321773712254,0.841316405085412
"GO:2001057","reactive nitrogen species metabolic process","BP",3,2,1,0.2545194121767,0.748391636867767
"GO:0000448","cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","BP",1,0,1,1,0.368376068376068
"GO:0000460","maturation of 5.8S rRNA","BP",4,0,3,1,0.144317600869476
"GO:0000463","maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","BP",4,0,4,1,0.0182529353345555
"GO:0000466","maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","BP",3,0,3,1,0.0497691017182855
"GO:0000470","maturation of LSU-rRNA","BP",5,0,5,1,0.00668439398615366
"GO:0006334","nucleosome assembly","BP",3,0,2,1,0.306967466542153
"GO:0006407","rRNA export from nucleus","BP",1,0,1,1,0.368376068376068
"GO:0006446","regulation of translational initiation","BP",5,2,3,0.532596155325521,0.264003351081446
"GO:0006884","cell volume homeostasis","BP",1,0,1,1,0.368376068376068
"GO:0009303","rRNA transcription","BP",5,1,4,0.865470480130593,0.0645271007281625
"GO:0010658","striated muscle cell apoptotic process","BP",3,0,3,1,0.0497691017182855
"GO:0010659","cardiac muscle cell apoptotic process","BP",3,0,3,1,0.0497691017182855
"GO:0010662","regulation of striated muscle cell apoptotic process","BP",3,0,3,1,0.0497691017182855
"GO:0010664","negative regulation of striated muscle cell apoptotic process","BP",1,0,1,1,0.368376068376068
"GO:0010665","regulation of cardiac muscle cell apoptotic process","BP",3,0,3,1,0.0497691017182855
"GO:0010667","negative regulation of cardiac muscle cell apoptotic process","BP",1,0,1,1,0.368376068376068
"GO:0010825","positive regulation of centrosome duplication","BP",1,0,1,1,0.368376068376068
"GO:0010998","regulation of translational initiation by eIF2 alpha phosphorylation","BP",1,0,1,1,0.368376068376068
"GO:0032069","regulation of nuclease activity","BP",1,0,1,1,0.368376068376068
"GO:0032070","regulation of deoxyribonuclease activity","BP",1,0,1,1,0.368376068376068
"GO:0032071","regulation of endodeoxyribonuclease activity","BP",1,0,1,1,0.368376068376068
"GO:0034644","cellular response to UV","BP",6,0,6,1,0.00244425050480812
"GO:0042273","ribosomal large subunit biogenesis","BP",9,0,9,1,0.000118440994267936
"GO:0043331","response to dsRNA","BP",2,1,1,0.551174573929065,0.601250246759229
"GO:0043555","regulation of translation in response to stress","BP",1,0,1,1,0.368376068376068
"GO:0043558","regulation of translational initiation in response to stress","BP",1,0,1,1,0.368376068376068
"GO:0044387","negative regulation of protein kinase activity by regulation of protein phosphorylation","BP",2,1,1,0.551174573929065,0.601250246759229
"GO:0046607","positive regulation of centrosome cycle","BP",1,0,1,1,0.368376068376068
"GO:0051029","rRNA transport","BP",2,0,2,1,0.135501889992908
"GO:0060699","regulation of endoribonuclease activity","BP",1,0,1,1,0.368376068376068
"GO:0060700","regulation of ribonuclease activity","BP",1,0,1,1,0.368376068376068
"GO:0060735","regulation of eIF2 alpha phosphorylation by dsRNA","BP",1,0,1,1,0.368376068376068
"GO:0071359","cellular response to dsRNA","BP",1,0,1,1,0.368376068376068
"GO:0071482","cellular response to light stimulus","BP",6,0,6,1,0.00244425050480812
"GO:0097064","ncRNA export from nucleus","BP",1,0,1,1,0.368376068376068
"GO:0098781","ncRNA transcription","BP",5,1,4,0.865470480130593,0.0645271007281625
"GO:1900262","regulation of DNA-directed DNA polymerase activity","BP",2,1,1,0.551174573929065,0.601250246759229
"GO:1900264","positive regulation of DNA-directed DNA polymerase activity","BP",2,1,1,0.551174573929065,0.601250246759229
"GO:1902570","protein localization to nucleolus","BP",1,0,1,1,0.368376068376068
"GO:1902629","regulation of mRNA stability involved in cellular response to UV","BP",1,0,1,1,0.368376068376068
"GO:1904749","regulation of protein localization to nucleolus","BP",1,0,1,1,0.368376068376068
"GO:1904751","positive regulation of protein localization to nucleolus","BP",1,0,1,1,0.368376068376068
"GO:0008637","apoptotic mitochondrial changes","BP",7,1,4,0.939874909759824,0.230612268883612
"GO:0043653","mitochondrial fragmentation involved in apoptotic process","BP",1,0,1,1,0.368376068376068
"GO:0051963","regulation of synapse assembly","BP",3,0,1,1,0.748391636867767
"GO:0060384","innervation","BP",1,0,1,1,0.368376068376068
"GO:0060385","axonogenesis involved in innervation","BP",1,0,1,1,0.368376068376068
"GO:0097106","postsynaptic density organization","BP",2,0,1,1,0.601250246759229
"GO:0097107","postsynaptic density assembly","BP",2,0,1,1,0.601250246759229
"GO:0098698","postsynaptic specialization assembly","BP",2,0,1,1,0.601250246759229
"GO:0098962","regulation of postsynaptic neurotransmitter receptor activity","BP",1,0,1,1,0.368376068376068
"GO:0099068","postsynapse assembly","BP",2,0,1,1,0.601250246759229
"GO:0099084","postsynaptic specialization organization","BP",2,0,1,1,0.601250246759229
"GO:0099150","regulation of postsynaptic specialization assembly","BP",1,0,1,1,0.368376068376068
"GO:0099151","regulation of postsynaptic density assembly","BP",1,0,1,1,0.368376068376068
"GO:0150052","regulation of postsynapse assembly","BP",1,0,1,1,0.368376068376068
"GO:1904861","excitatory synapse assembly","BP",2,0,1,1,0.601250246759229
"GO:1904889","regulation of excitatory synapse assembly","BP",1,0,1,1,0.368376068376068
"GO:1905874","regulation of postsynaptic density organization","BP",1,0,1,1,0.368376068376068
"GO:0001881","receptor recycling","BP",2,0,0,1,1
"GO:0001919","regulation of receptor recycling","BP",2,0,0,1,1
"GO:0001921","positive regulation of receptor recycling","BP",1,0,0,1,1
"GO:0022406","membrane docking","BP",5,2,0,0.532596155325521,1
"GO:0035494","SNARE complex disassembly","BP",1,0,0,1,1
"GO:0048211","Golgi vesicle docking","BP",1,0,0,1,1
"GO:0048278","vesicle docking","BP",5,2,0,0.532596155325521,1
"GO:0140056","organelle localization by membrane tethering","BP",5,2,0,0.532596155325521,1
"GO:0031397","negative regulation of protein ubiquitination","BP",6,3,2,0.31258479901659,0.714942168073546
"GO:1903321","negative regulation of protein modification by small protein conjugation or removal","BP",6,3,2,0.31258479901659,0.714942168073546
"GO:0006103","2-oxoglutarate metabolic process","BP",1,1,0,0.32991452991453,1
"GO:0006104","succinyl-CoA metabolic process","BP",1,1,0,0.32991452991453,1
"GO:0021544","subpallium development","BP",1,1,0,0.32991452991453,1
"GO:0021756","striatum development","BP",1,1,0,0.32991452991453,1
"GO:0021772","olfactory bulb development","BP",1,1,0,0.32991452991453,1
"GO:0021794","thalamus development","BP",3,3,0,0.0357220227616421,1
"GO:0021859","pyramidal neuron differentiation","BP",2,2,0,0.108654485899995,1
"GO:0021860","pyramidal neuron development","BP",2,2,0,0.108654485899995,1
"GO:0021872","forebrain generation of neurons","BP",3,3,0,0.0357220227616421,1
"GO:0021879","forebrain neuron differentiation","BP",3,3,0,0.0357220227616421,1
"GO:0021884","forebrain neuron development","BP",3,3,0,0.0357220227616421,1
"GO:0021988","olfactory lobe development","BP",1,1,0,0.32991452991453,1
"GO:0022028","tangential migration from the subventricular zone to the olfactory bulb","BP",1,1,0,0.32991452991453,1
"GO:0061034","olfactory bulb mitral cell layer development","BP",1,1,0,0.32991452991453,1
"GO:0007606","sensory perception of chemical stimulus","BP",5,3,2,0.204410201292352,0.606693319637086
"GO:0007608","sensory perception of smell","BP",5,3,2,0.204410201292352,0.606693319637086
"GO:0000422","autophagy of mitochondrion","BP",8,4,2,0.251081238791448,0.85736092452272
"GO:0000423","mitophagy","BP",3,2,1,0.2545194121767,0.748391636867767
"GO:0007032","endosome organization","BP",3,3,0,0.0357220227616421,1
"GO:0035973","aggrephagy","BP",2,2,0,0.108654485899995,1
"GO:0043122","regulation of I-kappaB kinase/NF-kappaB signaling","BP",9,7,1,0.00756077341116078,0.984286079071867
"GO:0061635","regulation of protein complex stability","BP",3,3,0,0.0357220227616421,1
"GO:0061726","mitochondrion disassembly","BP",8,4,2,0.251081238791448,0.85736092452272
"GO:0061912","selective autophagy","BP",4,3,1,0.107717050641147,0.841316405085412
"GO:0098780","response to mitochondrial depolarisation","BP",3,3,0,0.0357220227616421,1
"GO:1900273","positive regulation of long-term synaptic potentiation","BP",2,1,1,0.551174573929065,0.601250246759229
"GO:1903008","organelle disassembly","BP",9,4,2,0.34093140881906,0.900901264735032
"GO:1905719","protein localization to perinuclear region of cytoplasm","BP",1,1,0,0.32991452991453,1
"GO:0022904","respiratory electron transport chain","BP",4,2,1,0.401321773712254,0.841316405085412
"GO:0043276","anoikis","BP",2,0,2,1,0.135501889992908
"GO:2000209","regulation of anoikis","BP",2,0,2,1,0.135501889992908
"GO:2000210","positive regulation of anoikis","BP",2,0,2,1,0.135501889992908
"GO:0018208","peptidyl-proline modification","BP",3,1,1,0.699502154805247,0.748391636867767
"GO:0018401","peptidyl-proline hydroxylation to 4-hydroxy-L-proline","BP",2,1,0,0.551174573929065,1
"GO:0019511","peptidyl-proline hydroxylation","BP",2,1,0,0.551174573929065,1
"GO:0046596","regulation of viral entry into host cell","BP",4,3,1,0.107717050641147,0.841316405085412
"GO:0046598","positive regulation of viral entry into host cell","BP",2,2,0,0.108654485899995,1
"GO:0052372","modulation by symbiont of entry into host","BP",5,4,1,0.0432549502070106,0.899972176447494
"GO:0075294","positive regulation by symbiont of entry into host","BP",2,2,0,0.108654485899995,1
"GO:0098760","response to interleukin-7","BP",2,1,1,0.551174573929065,0.601250246759229
"GO:0098761","cellular response to interleukin-7","BP",2,1,1,0.551174573929065,0.601250246759229
"GO:1902175","regulation of oxidative stress-induced intrinsic apoptotic signaling pathway","BP",2,1,0,0.551174573929065,1
"GO:0001675","acrosome assembly","BP",3,2,0,0.2545194121767,1
"GO:0002066","columnar/cuboidal epithelial cell development","BP",4,4,0,0.0117236801351405,1
"GO:0006998","nuclear envelope organization","BP",4,2,0,0.401321773712254,1
"GO:0019226","transmission of nerve impulse","BP",3,3,0,0.0357220227616421,1
"GO:0021540","corpus callosum morphogenesis","BP",1,1,0,0.32991452991453,1
"GO:0021952","central nervous system projection neuron axonogenesis","BP",1,1,0,0.32991452991453,1
"GO:0021955","central nervous system neuron axonogenesis","BP",3,1,0,0.699502154805247,1
"GO:0022038","corpus callosum development","BP",2,1,0,0.551174573929065,1
"GO:0030397","membrane disassembly","BP",2,1,0,0.551174573929065,1
"GO:0032873","negative regulation of stress-activated MAPK cascade","BP",5,3,2,0.204410201292352,0.606693319637086
"GO:0033363","secretory granule organization","BP",3,2,0,0.2545194121767,1
"GO:0035315","hair cell differentiation","BP",3,3,0,0.0357220227616421,1
"GO:0036035","osteoclast development","BP",1,1,0,0.32991452991453,1
"GO:0042491","inner ear auditory receptor cell differentiation","BP",3,3,0,0.0357220227616421,1
"GO:0043622","cortical microtubule organization","BP",1,1,0,0.32991452991453,1
"GO:0046329","negative regulation of JNK cascade","BP",5,3,2,0.204410201292352,0.606693319637086
"GO:0051081","nuclear envelope disassembly","BP",2,1,0,0.551174573929065,1
"GO:0051642","centrosome localization","BP",3,2,0,0.2545194121767,1
"GO:0051657","maintenance of organelle location","BP",1,1,0,0.32991452991453,1
"GO:0051660","establishment of centrosome localization","BP",1,1,0,0.32991452991453,1
"GO:0051661","maintenance of centrosome location","BP",1,1,0,0.32991452991453,1
"GO:0060117","auditory receptor cell development","BP",3,3,0,0.0357220227616421,1
"GO:0061842","microtubule organizing center localization","BP",3,2,0,0.2545194121767,1
"GO:0070303","negative regulation of stress-activated protein kinase signaling cascade","BP",5,3,2,0.204410201292352,0.606693319637086
"GO:0090176","microtubule cytoskeleton organization involved in establishment of planar polarity","BP",1,1,0,0.32991452991453,1
"GO:0098751","bone cell development","BP",2,1,1,0.551174573929065,0.601250246759229
"GO:0015914","phospholipid transport","BP",5,1,1,0.865470480130593,0.899972176447494
"GO:0120163","negative regulation of cold-induced thermogenesis","BP",4,2,2,0.401321773712254,0.46961733221483
"GO:0006086","acetyl-CoA biosynthetic process from pyruvate","BP",1,1,0,0.32991452991453,1
"GO:0010510","regulation of acetyl-CoA biosynthetic process from pyruvate","BP",1,1,0,0.32991452991453,1
"GO:0031670","cellular response to nutrient","BP",3,2,1,0.2545194121767,0.748391636867767
"GO:0042762","regulation of sulfur metabolic process","BP",1,1,0,0.32991452991453,1
"GO:0050812","regulation of acyl-CoA biosynthetic process","BP",1,1,0,0.32991452991453,1
"GO:1904182","regulation of pyruvate dehydrogenase activity","BP",1,1,0,0.32991452991453,1
"GO:1904183","negative regulation of pyruvate dehydrogenase activity","BP",1,1,0,0.32991452991453,1
"GO:0033598","mammary gland epithelial cell proliferation","BP",3,0,3,1,0.0497691017182855
"GO:0033599","regulation of mammary gland epithelial cell proliferation","BP",2,0,2,1,0.135501889992908
"GO:0033600","negative regulation of mammary gland epithelial cell proliferation","BP",1,0,1,1,0.368376068376068
"GO:0060443","mammary gland morphogenesis","BP",3,0,3,1,0.0497691017182855
"GO:0060444","branching involved in mammary gland duct morphogenesis","BP",2,0,2,1,0.135501889992908
"GO:0060603","mammary gland duct morphogenesis","BP",2,0,2,1,0.135501889992908
"GO:0061180","mammary gland epithelium development","BP",4,0,4,1,0.0182529353345555
"GO:0001885","endothelial cell development","BP",4,0,3,1,0.144317600869476
"GO:0001886","endothelial cell morphogenesis","BP",1,0,0,1,1
"GO:0002693","positive regulation of cellular extravasation","BP",1,0,0,1,1
"GO:0003382","epithelial cell morphogenesis","BP",1,0,0,1,1
"GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","BP",2,0,0,1,1
"GO:0034260","negative regulation of GTPase activity","BP",3,1,0,0.699502154805247,1
"GO:0035696","monocyte extravasation","BP",1,0,0,1,1
"GO:0061028","establishment of endothelial barrier","BP",2,0,1,1,0.601250246759229
"GO:0072672","neutrophil extravasation","BP",1,0,0,1,1
"GO:0090673","endothelial cell-matrix adhesion","BP",1,0,0,1,1
"GO:0006656","phosphatidylcholine biosynthetic process","BP",1,0,1,1,0.368376068376068
"GO:0006684","sphingomyelin metabolic process","BP",2,1,1,0.551174573929065,0.601250246759229
"GO:0006686","sphingomyelin biosynthetic process","BP",1,0,1,1,0.368376068376068
"GO:0008654","phospholipid biosynthetic process","BP",11,3,3,0.759699011124022,0.834475622407317
"GO:0030148","sphingolipid biosynthetic process","BP",5,4,1,0.0432549502070106,0.899972176447494
"GO:0033273","response to vitamin","BP",2,0,2,1,0.135501889992908
"GO:0045017","glycerolipid biosynthetic process","BP",12,3,3,0.81364025308764,0.878498317417051
"GO:0046467","membrane lipid biosynthetic process","BP",9,4,2,0.34093140881906,0.900901264735032
"GO:0046470","phosphatidylcholine metabolic process","BP",2,0,1,1,0.601250246759229
"GO:0046474","glycerophospholipid biosynthetic process","BP",9,1,3,0.973174202711476,0.704969733779627
"GO:0046498","S-adenosylhomocysteine metabolic process","BP",1,0,1,1,0.368376068376068
"GO:0050747","positive regulation of lipoprotein metabolic process","BP",1,0,1,1,0.368376068376068
"GO:0009648","photoperiodism","BP",2,0,2,1,0.135501889992908
"GO:0009649","entrainment of circadian clock","BP",2,0,2,1,0.135501889992908
"GO:0031958","corticosteroid receptor signaling pathway","BP",2,0,2,1,0.135501889992908
"GO:0038066","p38MAPK cascade","BP",5,3,2,0.204410201292352,0.606693319637086
"GO:0042634","regulation of hair cycle","BP",2,1,1,0.551174573929065,0.601250246759229
"GO:0042921","glucocorticoid receptor signaling pathway","BP",2,0,2,1,0.135501889992908
"GO:0043124","negative regulation of I-kappaB kinase/NF-kappaB signaling","BP",3,2,1,0.2545194121767,0.748391636867767
"GO:0043153","entrainment of circadian clock by photoperiod","BP",2,0,2,1,0.135501889992908
"GO:0051591","response to cAMP","BP",2,1,1,0.551174573929065,0.601250246759229
